key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionCode	locality	fieldNumber	gbifID	collectionCode	occurrenceID	collectionID	continent	verbatimLocality	coordinateUncertaintyInMeters	depthAccuracy	datasetID	samplingProtocol	eventID	http://unknown.org/language	originalNameUsage	county	identificationVerificationStatus	nameAccordingTo	behavior	taxonID	stateProvince	recordNumber	informationWithheld	habitat	footprintWKT	verbatimDepth	taxonConceptID	http://unknown.org/rightsHolder	datasetName	scientificNameID	previousIdentifications	identificationQualifier	ownerInstitutionCode	eventTime	language	type	locationID	lifeStage	waterBody	higherGeography	preparations	institutionID	georeferenceProtocol	verbatimCoordinateSystem	higherClassification	otherCatalogNumbers	dynamicProperties	parentEventID	sex	rightsHolder	nomenclaturalCode	verbatimEventDate	references	associatedSequences	occurrenceRemarks
3762705767	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:55.337+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1896', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Paranymphon;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Caullery, 1896', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|516219', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Paranymphon', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'spinosum', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|17282', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Paranymphon spinosum Caullery, 1896'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118474	1	54	354	9477065	6313	2118473	2118474	2118474	Paranymphon spinosum Caullery, 1896	Paranymphon spinosum Caullery, 1896	Animalia	Arthropoda	Pantopoda	Ammotheidae	Paranymphon	Paranymphon spinosum	Paranymphon	spinosum	SPECIES	ACCEPTED	NE	41.456067	9.360967	91.0	{}	2020.0	10.0	15.0	2020-10-15	289.0	289.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:01.000+00:00	2024-07-24T12:24:55.337+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2020-598'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	La_Planète_Revisitée	Sabroux R.	WGS84	Pycnogonida	FR	[]	[]	EUROPE	France	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2020-598	2020-598	MNHN	Large Golfu di Sant'Amanza	CORSICABENTHOS 2/CD66	3762705767	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2020-598	10.15468/qgvvhd																																																	
3762705755	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:55.220+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1896', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Paranymphon;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Caullery, 1896', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|516220', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Paranymphon', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'spinosum', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|17282', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Paranymphon spinosum Caullery, 1896'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118474	1	54	354	9477065	6313	2118473	2118474	2118474	Paranymphon spinosum Caullery, 1896	Paranymphon spinosum Caullery, 1896	Animalia	Arthropoda	Pantopoda	Ammotheidae	Paranymphon	Paranymphon spinosum	Paranymphon	spinosum	SPECIES	ACCEPTED	NE	41.456067	9.360967	91.0	{}	2020.0	10.0	15.0	2020-10-15	289.0	289.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2014-03-18T17:09:00.000+00:00	2024-07-24T12:24:55.220+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2020-600'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	La_Planète_Revisitée	Sabroux R.	WGS84	Pycnogonida	FR	[]	[]	EUROPE	France	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2020-600	2020-600	MNHN	Large Golfu di Sant'Amanza	CORSICABENTHOS 2/CD66	3762705755	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2020-600	10.15468/qgvvhd																																																	
4007634733	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:44.852+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1896', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Paranymphon;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Caullery, 1896', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|565198', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Paranymphon', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'spinosum', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|17282', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Paranymphon spinosum Caullery, 1896'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118474	1	54	354	9477065	6313	2118473	2118474	2118474	Paranymphon spinosum Caullery, 1896	Paranymphon spinosum Caullery, 1896	Animalia	Arthropoda	Pantopoda	Ammotheidae	Paranymphon	Paranymphon spinosum	Paranymphon	spinosum	SPECIES	ACCEPTED	NE	42.7125	9.49233	100.0	{}	2019.0	5.0	22.0	2019-05-22	142.0	142.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:01.000+00:00	2024-07-24T12:24:44.852+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2019-963'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	La_Planète_Revisitée	Sabroux R.	WGS84	Pycnogonida	FR	[]	[]	EUROPE	France	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2019-963	2019-963	MNHN	Parc naturel marin du cap Corse et de l'Agriate	CORSICABENTHOS 1/CD49	4007634733	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2019-963	10.15468/qgvvhd	EUROPE	Nord Bastia																																															
4007634736	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:44.855+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1896', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Paranymphon;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Caullery, 1896', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|565199', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Paranymphon', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'spinosum', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|17282', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Paranymphon spinosum Caullery, 1896'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118474	1	54	354	9477065	6313	2118473	2118474	2118474	Paranymphon spinosum Caullery, 1896	Paranymphon spinosum Caullery, 1896	Animalia	Arthropoda	Pantopoda	Ammotheidae	Paranymphon	Paranymphon spinosum	Paranymphon	spinosum	SPECIES	ACCEPTED	NE	42.7125	9.49233	100.0	{}	2019.0	5.0	22.0	2019-05-22	142.0	142.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:00.000+00:00	2024-07-24T12:24:44.855+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2019-964'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	La_Planète_Revisitée	Sabroux R.	WGS84	Pycnogonida	FR	[]	[]	EUROPE	France	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2019-964	2019-964	MNHN	Parc naturel marin du cap Corse et de l'Agriate	CORSICABENTHOS 1/CD49	4007634736	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2019-964	10.15468/qgvvhd	EUROPE	Nord Bastia																																															
4052155454	746c3fd5-77b5-47dd-ae16-4aaa4dcdb1a0	1928bdf0-f5d2-11dc-8c12-b8a03c50a862		e44d0fd7-0edf-477f-aa82-50a81836ab46	1928bdf0-f5d2-11dc-8c12-b8a03c50a862	FR	DWC_ARCHIVE	2024-01-20T13:51:34.138+00:00	2024-01-26T10:04:53.502+00:00	1	{}	HUMAN_OBSERVATION		PRESENT	2118474	1	54	354	9477065	6313	2118473	2118474	2118474	Paranymphon spinosum Caullery, 1896	Paranymphon spinosum Caullery, 1896	Animalia	Arthropoda	Pantopoda	Ammotheidae	Paranymphon	Paranymphon spinosum	Paranymphon	spinosum	SPECIES	ACCEPTED	NE	43.56482	-1.64269	119.0	{}	2018.0	5.0		2018-05-04/2018-05-10	124.0	130.0	['TAXON_MATCH_TAXON_ID_IGNORED']		2024-01-26T10:04:53.502+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'b5e8456c-ea98-4ac3-9761-50757681705f'}]	[]	[]	[]			False	CAJERI Pauline (Créocéan)|DAVIGNON Jérôme (Créocéan)	HUMBERT Suzie (EPOC-ADERA)|LAVESQUE Nicolas (EPOC-ADERA)|GOUILLIEUX Benoit (EPOC-ADERA)	WGS84	Pycnogonida	FR	[]	[]	EUROPE	France	EUROPE	b5e8456c-ea98-4ac3-9761-50757681705f					4052155454		b5e8456c-ea98-4ac3-9761-50757681705f				5000.0	0.0	E9E391AD-D283-603E-E053-0514A8C09F3F	Inconnu	b5e8456c-ea98-4ac3-9761-50757681705f	fr | en	Paranymphon spinosum	Landes (mer territoriale)	Non réalisable	Gargominy O (2021). TAXREF. Version 4.7. UMS PatriNat (OFB-CNRS-MNHN), Paris. Checklist dataset https://doi.org/10.15468/vqueam accessed via GBIF.org on 2021-06-28.	Inconnu	921713																																			
2932100680	a71b06c8-c62d-46ed-8daa-f10b0aeca0da	bb108780-00da-49a7-ba12-40a25192a626		99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-07T15:14:04.975+00:00	2024-07-07T15:15:34.599+00:00	323	{}	HUMAN_OBSERVATION	2.0	PRESENT	2118474	1	54	354	9477065	6313	2118473	2118474	2118474	Paranymphon spinosum Caullery, 1896	Paranymphon spinosum Caullery, 1896	Animalia	Arthropoda	Pantopoda	Ammotheidae	Paranymphon	Paranymphon spinosum	Paranymphon	spinosum	SPECIES	ACCEPTED	NE	49.99972	-6.999681		{}	2012.0	2.0	11.0	2012-02-11	42.0	42.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-07-07T15:15:34.599+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '17610ebc-c2f3-457a-b9e4-b6caf59719b0'}]	[]	[]	[]			False			WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE	17610ebc-c2f3-457a-b9e4-b6caf59719b0			EHF_Hamon Grabs 110212		2932100680	MRCON04000000005	437897121				70.7				MRCON04000000031.14				Accepted			NBNSYS0000185288	England	T-MRCON0400000075C	OSGB Grid Reference SV418230	Sublittoral	POLYGON((-7.00033 49.99924,-7.00033 50.0002,-6.99903 50.0002,-6.99903 49.99924,-7.00033 49.99924))	Unknown	NBNSYS0000185288	Joint Nature Conservation Committee																											
2932289239	a71b06c8-c62d-46ed-8daa-f10b0aeca0da	bb108780-00da-49a7-ba12-40a25192a626		99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-07-07T15:14:04.975+00:00	2024-07-07T15:15:34.831+00:00	323	{}	HUMAN_OBSERVATION	2.0	PRESENT	2118474	1	54	354	9477065	6313	2118473	2118474	2118474	Paranymphon spinosum Caullery, 1896	Paranymphon spinosum Caullery, 1896	Animalia	Arthropoda	Pantopoda	Ammotheidae	Paranymphon	Paranymphon spinosum	Paranymphon	spinosum	SPECIES	ACCEPTED	NE	50.497478	-6.740364		{}	2012.0	2.0	11.0	2012-02-11	42.0	42.0	['TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-07-07T15:15:34.831+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '72550342-658d-4cc2-98c6-4cf86a4c11d3'}]	[]	[]	[]			False			WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE	72550342-658d-4cc2-98c6-4cf86a4c11d3			EHF_Hamon Grabs 110212		2932289239	MRCON04000000005	437896804				70.7				MRCON04000000031.03				Accepted			NBNSYS0000185288	England	T-MRCON0400000061E	OSGB Grid Reference SV639771	Sublittoral	POLYGON((-6.74102 50.497,-6.74102 50.49795,-6.73971 50.49795,-6.73971 50.497,-6.74102 50.497))	Unknown	NBNSYS0000185288	Joint Nature Conservation Committee																											
4139344660	dccfc89d-7b41-4c87-a325-aba2f74d2b25	f6b48504-1651-4a49-a88d-c2bc6178694d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	b968184d-9a9f-4e9b-b035-caaf09f46db5	f6b48504-1651-4a49-a88d-c2bc6178694d	GB	EML	2024-07-02T09:39:38.875+00:00	2024-07-02T09:40:24.337+00:00	53	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementID': '29915', 'http://rs.tdwg.org/dwc/terms/measurementValue': '2.0', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01', 'http://rs.tdwg.org/dwc/terms/occurrenceID': 'EHF_S7_Station_410_1.0_DASSHDT00000131_MTX_179', 'http://rs.tdwg.org/dwc/terms/measurementType': 'taxon abundance'}, {'http://rs.tdwg.org/dwc/terms/measurementUnit': 'g', 'http://rs.tdwg.org/dwc/terms/measurementID': '29996', 'http://rs.tdwg.org/dwc/terms/measurementValue': '0.0008', 'http://rs.tdwg.org/dwc/terms/occurrenceID': 'EHF_S7_Station_410_1.0_DASSHDT00000131_MTX_179', 'http://rs.iobis.org/obis/terms/measurementUnitID': 'http://vocab.nerc.ac.uk/collection/P06/current/UGRM', 'http://rs.tdwg.org/dwc/terms/measurementType': 'taxon biomass'}]}	MATERIAL_SAMPLE		PRESENT	2118474	1	54	354	9477065	6313	2118473	2118474	2118474	Paranymphon spinosum Caullery, 1896	Paranymphon spinosum Caullery, 1896	Animalia	Arthropoda	Pantopoda	Ammotheidae	Paranymphon	Paranymphon spinosum	Paranymphon	spinosum	SPECIES	ACCEPTED	NE	50.49827	-6.741646	101.0	{}	2012.0	2.0	11.0	2012-02-11	42.0	42.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-07-02T09:40:24.337+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'EHF_S7_Station_410_1.0_DASSHDT00000131_MTX_179'}]	[]	[]	[]			False			WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE	EHF_S7_Station_410_1.0_DASSHDT00000131_MTX_179		DASSH			4139344660		EHF_S7_Station_410_1.0_DASSHDT00000131_MTX_179				15.0	0.0	dassh.ac.uk:DASSHDT00000131	DASSHDT00000131_METH01	EHF_S7_Station_410																2012 Centre for the Environment, Fisheries and Aquaculture Science (Cefas) East of Haig Fras Marine Conservation Zone (MCZ) Survey	urn:lsid:marinespecies.org:taxname:134632	Paranymphon spinosum	original name: Paranymphon spinosum	28: Centre for Environment, Fisheries and Aquaculture Science, Lowestoft Laboratory (CEFAS); 2746: Joint Nature Conservation Committee - Peterborough Office (JNCC)	02:45:00	en	sample																			
2925516648	fae37d1f-5b7a-4fe2-8cfa-8948aefbcac2	598eb93d-a844-4289-8adb-0f8583dac91e		99552c70-f762-11e1-a439-00145eb45e9a	07f617d0-c688-11d8-bf62-b8a03c50a862	GB	DWC_ARCHIVE	2024-06-30T13:50:11.817+00:00	2024-06-30T13:59:35.522+00:00	322	{}	HUMAN_OBSERVATION	2.0	PRESENT	2118474	1	54	354	9477065	6313	2118473	2118474	2118474	Paranymphon spinosum Caullery, 1896	Paranymphon spinosum Caullery, 1896	Animalia	Arthropoda	Pantopoda	Ammotheidae	Paranymphon	Paranymphon spinosum	Paranymphon	spinosum	SPECIES	ACCEPTED	NE	51.619417	0.859496		{'level0': {'gid': 'GBR', 'name': 'United Kingdom'}, 'level1': {'gid': 'GBR.1_1', 'name': 'England'}, 'level2': {'gid': 'GBR.1.33_1', 'name': 'Essex'}, 'level3': {'gid': 'GBR.1.33.9_1', 'name': 'Maldon'}}	2012.0	6.0	20.0	2012-06-20	172.0	172.0	['CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED', 'TAXON_MATCH_TAXON_ID_IGNORED']		2024-06-30T13:59:35.522+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': '19be775f-0a74-441d-8287-f330e05d0a3f'}]	[]	[]	[]			False	Engl, N. Natural		WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE	19be775f-0a74-441d-8287-f330e05d0a3f			ESXNE23		2925516648	MRNE010800000009	554104875		EUROPE		70.7				MRNE010800000198.01				Accepted - considered correct			NBNSYS0000185288	England	T-MRNE01080000B26F	OSGB Grid Reference TQ980950	Sublittoral	POLYGON((0.85875 51.61899,0.85875 51.61985,0.86025 51.61985,0.86025 51.61899,0.85875 51.61899))	Unknown	NBNSYS0000185288	Natural England																											
4140612590	02dc90b3-5f61-4195-bde4-a27437bcf55f	f6b48504-1651-4a49-a88d-c2bc6178694d	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	b968184d-9a9f-4e9b-b035-caaf09f46db5	f6b48504-1651-4a49-a88d-c2bc6178694d	GB	EML	2023-09-22T10:58:31.678+00:00	2024-01-24T15:35:21.500+00:00	1	{'http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact': [{'http://rs.tdwg.org/dwc/terms/measurementID': '38141', 'http://rs.tdwg.org/dwc/terms/measurementValue': '1', 'http://rs.tdwg.org/dwc/terms/occurrenceID': 'DASSHDT00000132_GRAB_SE_0007_1_134632_383', 'http://rs.tdwg.org/dwc/terms/measurementType': 'replicateid'}, {'http://rs.tdwg.org/dwc/terms/measurementID': '38143', 'http://rs.tdwg.org/dwc/terms/measurementValue': '134632_383', 'http://rs.tdwg.org/dwc/terms/occurrenceID': 'DASSHDT00000132_GRAB_SE_0007_1_134632_383', 'http://rs.tdwg.org/dwc/terms/measurementType': 'matrixid'}, {'http://rs.tdwg.org/dwc/terms/measurementID': '38149', 'http://rs.tdwg.org/dwc/terms/measurementValue': '3', 'http://rs.iobis.org/obis/terms/measurementTypeID': 'http://vocab.nerc.ac.uk/collection/P01/current/OCOUNT01', 'http://rs.tdwg.org/dwc/terms/occurrenceID': 'DASSHDT00000132_GRAB_SE_0007_1_134632_383', 'http://rs.tdwg.org/dwc/terms/measurementType': 'abundance'}]}	MATERIAL_SAMPLE		PRESENT	2118474	1	54	354	9477065	6313	2118473	2118474	2118474	Paranymphon spinosum Caullery, 1896	Paranymphon spinosum Caullery, 1896	Animalia	Arthropoda	Pantopoda	Ammotheidae	Paranymphon	Paranymphon spinosum	Paranymphon	spinosum	SPECIES	ACCEPTED	NE	50.23822	-8.098643		{}	2012.0	7.0	8.0	2012-07-08	190.0	190.0	['COUNTRY_DERIVED_FROM_COORDINATES', 'INSTITUTION_MATCH_NONE']		2024-01-24T15:35:21.500+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'DASSHDT00000132_GRAB_SE_0007_1_134632_383'}]	[]	[]	[]			False	Roger Coggan; Jackie Eggleton; Bill Meadows; Buster Rook-Bishop; Tom Hill; Denise Doran; Laura Cornick; Merle Shaw; Claire Mason; Marc Whybrow; James Cook; Marianne Herve; Ana Leocadio; Tom Fisher; Penny Wilson; Betheney Wills	unknown	WGS84	Pycnogonida	GB	[]	[]	EUROPE	United Kingdom of Great Britain and Northern Ireland	EUROPE	DASSHDT00000132_GRAB_SE_0007_1_134632_383		DASSH			4140612590		DASSHDT00000132_GRAB_SE_0007_1_134632_383				10.0		dassh.ac.uk:DASSHDT00000132	DASSHDT00000132_METH_03	DASSHDT00000132_GRAB_SE_0007																2012 Centre for the Environment, Fisheries and Aquaculture Science (Cefas) Greater Haig Fras Marine Conservation Zone (MCZ) Acoustic, Sidescan, Grab, Video survey	urn:lsid:marinespecies.org:taxname:134632	Paranymphon spinosum	original name: Paranymphon spinosum	28: Centre for Environment, Fisheries and Aquaculture Science, Lowestoft Laboratory (CEFAS); 2588: ABP Marine Environmental Research Ltd (ABPMer)	22:40:00	en	sample	GHF_69_STN 59_G																		
