key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	projectId	extensions	basisOfRecord	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	dateIdentified	decimalLatitude	decimalLongitude	depth	depthAccuracy	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	lastInterpreted	license	sampleSizeUnit	sampleSizeValue	isSequenced	identifiers	media	facts	relations	institutionKey	isInCluster	datasetName	recordedBy	identifiedBy	samplingProtocol	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identificationReferences	eventID	identifier	scientificNameID	locality	collectionCode	gbifID	occurrenceID	type	catalogNumber	institutionCode	locationID	parentEventID	individualCount	sex	elevation	references	combinationAuthors	verbatimScientificName	http://unknown.org/verbatimLabel	taxonID	combinationYear	canonicalName	modified	collectionKey	fieldNumber	collectionID	verbatimLocality	datasetID	ownerInstitutionCode	materialSampleID	taxonRemarks	stateProvince	waterBody	higherGeography	preparations	institutionID	verbatimEventDate	georeferenceProtocol	verbatimCoordinateSystem	higherClassification	habitat	typeStatus	bibliographicCitation	coordinateUncertaintyInMeters	distanceFromCentroidInMeters	http://unknown.org/language	originalNameUsage	county	associatedReferences	identificationVerificationStatus	nameAccordingTo	http://unknown.org/orders	associatedSequences	taxonConceptID	occurrenceRemarks
3400689454	4bdc7171-c006-41b8-b3bf-e6f5227206b3	1e9400fa-ce73-4737-9eaa-f25df148945c	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	b68add0c-c5b6-451a-818c-203a0253bac9	1e9400fa-ce73-4737-9eaa-f25df148945c	VE	EML	2024-07-25T10:13:24.938+00:00	2024-07-25T10:13:58.687+00:00	139	CEMIEO_GS_RL_UNAM	{}	PRESERVED_SPECIMEN	PRESENT	2117313	1	54	354	9477065	6316	2117290	2117313	2117313	Anoplodactylus arcuatus Child, 1977	Anoplodactylus arcuatus Child, 1977	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arcuatus	Anoplodactylus	arcuatus	SPECIES	ACCEPTED	NE	2021-10-20T00:00:00	21.579818	-88.198363	1.04	0.0	NORTH_AMERICA	{}	2018.0	5.0	19.0	2018-05-19T11:32:31	139.0	139.0	['COORDINATE_ROUNDED', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-25T10:13:58.687+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	square metre	0.018	False	[{'identifier': 'RL1805_E6_B2_022'}]	[]	[]	[]	094e4de4-3108-4adf-93ea-4e2529f4b34c	False	CEMIEO_GS_RL_UNAM	Vanesa Papiol|Luis Sauma|Yasmín Dávila|César Salazar|Alejandra Garnica|Jesús Rufino Correa|Gerardo Alberto Sosa|Xaní Malagón	Anna Soler-Membrives	PVC core	WGS84	Pycnogonida	MX	[]	[]	LATIN_AMERICA	Mexico	LATIN_AMERICA	Child, C. (1995). Antarctic and subantarctic Pycnogonida V. The family Pycnogonidae, Phoxilidiidae, Endeidae and Callipallenidae, including the genus Pallenopsis. Biology of the Antarctic Seas XXIII. Antarctic Research Series, 69, 113-160.|Munilla, T. and Soler-Membrives, A. (2014). Picnogónida. Fauna Ibérica Vol. 39. M.A. Ramos et al. (eds), Madrid, 293 pp.|Stock, J. (1974). Medio and infralittoral Pycnogonida collected during the I.I.O.E. near the landbase of Nossi-Bé, Madagascar. Bulletin Zoölogisch Museum Universiteit van Amsterdam 4(3), 11-22.	RL1805_E6_B2	RL1805_E6_B2_022	urn:lsid:marinespecies.org:taxname:240167	San Felipe	Universitat_Autònoma_de_Barcelona	3400689454	RL1805_E6_B2_022	Sample	MEYU-22	UMDI-FC-UNAM	http://marineregions.org/mrgid/19141	RL1805_E6_B2																																											
3400689458	4bdc7171-c006-41b8-b3bf-e6f5227206b3	1e9400fa-ce73-4737-9eaa-f25df148945c	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	b68add0c-c5b6-451a-818c-203a0253bac9	1e9400fa-ce73-4737-9eaa-f25df148945c	VE	EML	2024-07-25T10:13:24.938+00:00	2024-07-25T10:13:58.705+00:00	139	CEMIEO_GS_RL_UNAM	{}	PRESERVED_SPECIMEN	PRESENT	2117313	1	54	354	9477065	6316	2117290	2117313	2117313	Anoplodactylus arcuatus Child, 1977	Anoplodactylus arcuatus Child, 1977	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arcuatus	Anoplodactylus	arcuatus	SPECIES	ACCEPTED	NE	2021-10-20T00:00:00	21.579818	-88.198363	1.04	0.0	NORTH_AMERICA	{}	2018.0	5.0	19.0	2018-05-19T11:32:31	139.0	139.0	['COORDINATE_ROUNDED', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-25T10:13:58.705+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	square metre	0.018	False	[{'identifier': 'RL1805_E6_B2_024'}]	[]	[]	[]	094e4de4-3108-4adf-93ea-4e2529f4b34c	False	CEMIEO_GS_RL_UNAM	Vanesa Papiol|Luis Sauma|Yasmín Dávila|César Salazar|Alejandra Garnica|Jesús Rufino Correa|Gerardo Alberto Sosa|Xaní Malagón	Anna Soler-Membrives	PVC core	WGS84	Pycnogonida	MX	[]	[]	LATIN_AMERICA	Mexico	LATIN_AMERICA	Child, C. (1995). Antarctic and subantarctic Pycnogonida V. The family Pycnogonidae, Phoxilidiidae, Endeidae and Callipallenidae, including the genus Pallenopsis. Biology of the Antarctic Seas XXIII. Antarctic Research Series, 69, 113-160.|Munilla, T. and Soler-Membrives, A. (2014). Picnogónida. Fauna Ibérica Vol. 39. M.A. Ramos et al. (eds), Madrid, 293 pp.|Stock, J. (1974). Medio and infralittoral Pycnogonida collected during the I.I.O.E. near the landbase of Nossi-Bé, Madagascar. Bulletin Zoölogisch Museum Universiteit van Amsterdam 4(3), 11-22.	RL1805_E6_B2	RL1805_E6_B2_024	urn:lsid:marinespecies.org:taxname:240167	San Felipe	Universitat_Autònoma_de_Barcelona	3400689458	RL1805_E6_B2_024	Sample	MEYU-24	UMDI-FC-UNAM	http://marineregions.org/mrgid/19141	RL1805_E6_B2																																											
3400689462	4bdc7171-c006-41b8-b3bf-e6f5227206b3	1e9400fa-ce73-4737-9eaa-f25df148945c	['2b7c7b4f-4d4f-40d3-94de-c28b6fa054a6']	b68add0c-c5b6-451a-818c-203a0253bac9	1e9400fa-ce73-4737-9eaa-f25df148945c	VE	EML	2024-07-25T10:13:24.938+00:00	2024-07-25T10:13:58.760+00:00	139	CEMIEO_GS_RL_UNAM	{}	PRESERVED_SPECIMEN	PRESENT	2117313	1	54	354	9477065	6316	2117290	2117313	2117313	Anoplodactylus arcuatus Child, 1977	Anoplodactylus arcuatus Child, 1977	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arcuatus	Anoplodactylus	arcuatus	SPECIES	ACCEPTED	NE	2021-10-20T00:00:00	21.579818	-88.198363	1.04	0.0	NORTH_AMERICA	{}	2018.0	5.0	19.0	2018-05-19T11:32:31	139.0	139.0	['COORDINATE_ROUNDED', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'COLLECTION_MATCH_NONE', 'INSTITUTION_MATCH_FUZZY']	2024-07-25T10:13:58.760+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	square metre	0.018	False	[{'identifier': 'RL1805_E6_B2_026'}]	[]	[]	[]	094e4de4-3108-4adf-93ea-4e2529f4b34c	False	CEMIEO_GS_RL_UNAM	Vanesa Papiol|Luis Sauma|Yasmín Dávila|César Salazar|Alejandra Garnica|Jesús Rufino Correa|Gerardo Alberto Sosa|Xaní Malagón	Anna Soler-Membrives	PVC core	WGS84	Pycnogonida	MX	[]	[]	LATIN_AMERICA	Mexico	LATIN_AMERICA	Child, C. (1995). Antarctic and subantarctic Pycnogonida V. The family Pycnogonidae, Phoxilidiidae, Endeidae and Callipallenidae, including the genus Pallenopsis. Biology of the Antarctic Seas XXIII. Antarctic Research Series, 69, 113-160.|Munilla, T. and Soler-Membrives, A. (2014). Picnogónida. Fauna Ibérica Vol. 39. M.A. Ramos et al. (eds), Madrid, 293 pp.|Stock, J. (1974). Medio and infralittoral Pycnogonida collected during the I.I.O.E. near the landbase of Nossi-Bé, Madagascar. Bulletin Zoölogisch Museum Universiteit van Amsterdam 4(3), 11-22.	RL1805_E6_B2	RL1805_E6_B2_026	urn:lsid:marinespecies.org:taxname:240167	San Felipe	Universitat_Autònoma_de_Barcelona	3400689462	RL1805_E6_B2_026	Sample	MEYU-20	UMDI-FC-UNAM	http://marineregions.org/mrgid/19141	RL1805_E6_B2																																											
4012366745	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862		7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:54.444+00:00	84		{}	MATERIAL_CITATION	PRESENT	2117313	1	54	354	9477065	6316	2117290	2117313	2117313	Anoplodactylus arcuatus Child, 1977	Anoplodactylus arcuatus Child, 1977	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arcuatus	Anoplodactylus	arcuatus	SPECIES	ACCEPTED	NE		14.631667	-61.128334			NORTH_AMERICA	{'level0': {'gid': 'MTQ', 'name': 'Martinique'}, 'level1': {'gid': 'MTQ.4_1', 'name': 'Saint-Pierre'}, 'level2': {'gid': 'MTQ.4.2_1', 'name': 'Case-Pilote'}}	2016.0	9.0	8.0	2016-09-08	252.0	252.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-19T16:28:54.444+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '03A95E063E55FFFBFDD500CD00A5B8BB.mc.3B68E54D3E55FFFBFC9A070800ACBA3A'}]	[]	[]	[]		False					WGS84	Pycnogonida	AS	[]	[]	OCEANIA	American Samoa	EUROPE			03A95E063E55FFFBFDD500CD00A5B8BB.mc.3B68E54D3E55FFFBFC9A070800ACBA3A		AS		4012366745	03A95E063E55FFFBFDD500CD00A5B8BB.mc.3B68E54D3E55FFFBFC9A070800ACBA3A						1.0	MALE	10.0	https://treatment.plazi.org/id/03A95E063E55FFFBFDD500CD00A5B8BB#3B68E54D3E55FFFBFC9A070800ACBA3A	Child	Anoplodactylus cf. arcuatus Child, 1977	1 ♂; same collection data as for preceding; MNHN-IU- 2016 - 1326	03A95E063E55FFFBFDD500CD00A5B8BB.taxon	1977	Anoplodactylus arcuatus																																	
4012366314	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862		7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:52.445+00:00	84		{}	MATERIAL_CITATION	PRESENT	2117313	1	54	354	9477065	6316	2117290	2117313	2117313	Anoplodactylus arcuatus Child, 1977	Anoplodactylus arcuatus Child, 1977	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arcuatus	Anoplodactylus	arcuatus	SPECIES	ACCEPTED	NE		14.631667	-61.128334			NORTH_AMERICA	{'level0': {'gid': 'MTQ', 'name': 'Martinique'}, 'level1': {'gid': 'MTQ.4_1', 'name': 'Saint-Pierre'}, 'level2': {'gid': 'MTQ.4.2_1', 'name': 'Case-Pilote'}}	2016.0	9.0	8.0	2016-09-08	252.0	252.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-19T16:28:52.445+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '03A95E063E55FFFBFDD500CD00A5B8BB.mc.3B68E54D3E55FFFBFDEF072B022CBA1F'}]	[]	[]	[]		False					WGS84	Pycnogonida	AS	[]	[]	OCEANIA	American Samoa	EUROPE			03A95E063E55FFFBFDD500CD00A5B8BB.mc.3B68E54D3E55FFFBFDEF072B022CBA1F		AS		4012366314	03A95E063E55FFFBFDD500CD00A5B8BB.mc.3B68E54D3E55FFFBFDEF072B022CBA1F						6.0	MALE	10.0	https://treatment.plazi.org/id/03A95E063E55FFFBFDD500CD00A5B8BB#3B68E54D3E55FFFBFDEF072B022CBA1F	Child	Anoplodactylus cf. arcuatus Child, 1977	1 ♂, 1 ♂ ov., 1 ♀, 2 ♀♀ gr., 1 juv.; Vétiver; 14 ° 37.9 ʹ N, 61 ° 07.7 ʹ W; depth 10 m; 8 Sep. 2016; st. AS 054; MNHN-IU- 2016 - 1204	03A95E063E55FFFBFDD500CD00A5B8BB.taxon	1977	Anoplodactylus arcuatus																																	
4012366435	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862		7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:53.380+00:00	84		{}	MATERIAL_CITATION	PRESENT	2117313	1	54	354	9477065	6316	2117290	2117313	2117313	Anoplodactylus arcuatus Child, 1977	Anoplodactylus arcuatus Child, 1977	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arcuatus	Anoplodactylus	arcuatus	SPECIES	ACCEPTED	NE		14.631667	-61.128334			NORTH_AMERICA	{'level0': {'gid': 'MTQ', 'name': 'Martinique'}, 'level1': {'gid': 'MTQ.4_1', 'name': 'Saint-Pierre'}, 'level2': {'gid': 'MTQ.4.2_1', 'name': 'Case-Pilote'}}	2016.0	9.0	8.0	2016-09-08	252.0	252.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT']	2024-07-19T16:28:53.380+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '03A95E063E55FFFBFDD500CD00A5B8BB.mc.3B68E54D3E55FFFBFE2307640400BA3A'}]	[]	[]	[]		False					WGS84	Pycnogonida	AS	[]	[]	OCEANIA	American Samoa	EUROPE			03A95E063E55FFFBFDD500CD00A5B8BB.mc.3B68E54D3E55FFFBFE2307640400BA3A		AS		4012366435	03A95E063E55FFFBFDD500CD00A5B8BB.mc.3B68E54D3E55FFFBFE2307640400BA3A						1.0	MALE	10.0	https://treatment.plazi.org/id/03A95E063E55FFFBFDD500CD00A5B8BB#3B68E54D3E55FFFBFE2307640400BA3A	Child	Anoplodactylus cf. arcuatus Child, 1977	1 ♂; same collection data as for preceding; MNHN-IU- 2016 - 1327 / MK 411102	03A95E063E55FFFBFDD500CD00A5B8BB.taxon	1977	Anoplodactylus arcuatus																																	
4012366349	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862		7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:52.771+00:00	84		{}	MATERIAL_CITATION	PRESENT	2117313	1	54	354	9477065	6316	2117290	2117313	2117313	Anoplodactylus arcuatus Child, 1977	Anoplodactylus arcuatus Child, 1977	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arcuatus	Anoplodactylus	arcuatus	SPECIES	ACCEPTED	NE		14.63	-61.128334			NORTH_AMERICA	{}	2016.0	9.0	8.0	2016-09-08	252.0	252.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_DERIVED_FROM_COORDINATES', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_NONE']	2024-07-19T16:28:52.771+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '03A95E063E55FFFBFDD500CD00A5B8BB.mc.3B68E54D3E55FFFBFF4006CE0097BA40'}]	[]	[]	[]		False					WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE			03A95E063E55FFFBFDD500CD00A5B8BB.mc.3B68E54D3E55FFFBFF4006CE0097BA40				4012366349	03A95E063E55FFFBFDD500CD00A5B8BB.mc.3B68E54D3E55FFFBFF4006CE0097BA40			MNHN-			1.0		25.0	https://treatment.plazi.org/id/03A95E063E55FFFBFDD500CD00A5B8BB#3B68E54D3E55FFFBFF4006CE0097BA40	Child	Anoplodactylus cf. arcuatus Child, 1977	MARTINIQUE • 1 juv.; Vétiver; 14 ° 37.8 ʹ N, 61 ° 07.7 ʹ W; depth 25 m; 8 Sep. 2016; st. AB 161; MNHN- IU- 2016 - 1036 / MK 411030	03A95E063E55FFFBFDD500CD00A5B8BB.taxon	1977	Anoplodactylus arcuatus																																	
4012366556	c70e23de-1f95-46fb-899b-9754b6145d52	7ce8aef0-9e92-11dc-8738-b8a03c50a862		7ce8aef1-9e92-11dc-8740-b8a03c50a999	7ce8aef0-9e92-11dc-8738-b8a03c50a862	CH	DWC_ARCHIVE	2024-07-19T16:27:31.836+00:00	2024-07-19T16:28:53.895+00:00	84		{}	MATERIAL_CITATION	PRESENT	2117313	1	54	354	9477065	6316	2117290	2117313	2117313	Anoplodactylus arcuatus Child, 1977	Anoplodactylus arcuatus Child, 1977	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arcuatus	Anoplodactylus	arcuatus	SPECIES	ACCEPTED	NE		14.518333	-61.09833			NORTH_AMERICA	{}	2016.0	9.0	30.0	2016-09-30	274.0	274.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'COUNTRY_COORDINATE_MISMATCH', 'CONTINENT_DERIVED_FROM_COORDINATES', 'TAXON_MATCH_TAXON_ID_IGNORED', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_NONE']	2024-07-19T16:28:53.895+00:00	http://creativecommons.org/publicdomain/zero/1.0/legalcode			False	[{'identifier': '03A95E063E55FFFBFDD500CD00A5B8BB.mc.3B68E54D3E55FFFBFF4007410097BAF2'}]	[]	[]	[]		False					WGS84	Pycnogonida	AS	[]	[]	OCEANIA	American Samoa	EUROPE			03A95E063E55FFFBFDD500CD00A5B8BB.mc.3B68E54D3E55FFFBFF4007410097BAF2				4012366556	03A95E063E55FFFBFDD500CD00A5B8BB.mc.3B68E54D3E55FFFBFF4007410097BAF2			MNHN-			1.0	FEMALE	18.0	https://treatment.plazi.org/id/03A95E063E55FFFBFDD500CD00A5B8BB#3B68E54D3E55FFFBFF4007410097BAF2	Child	Anoplodactylus cf. arcuatus Child, 1977	1 ♀; Pointe de la Baleine; 14 ° 31.1 ʹ N, 61 ° 05.9 ʹ W; depth 17 – 19 m; 30 Sep. 2016; st. AB 369; MNHN- IU- 2016 - 1259 / MK 411087	03A95E063E55FFFBFDD500CD00A5B8BB.taxon	1977	Anoplodactylus arcuatus																																	
1945782251	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:53.429+00:00	564		{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1977', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Anoplodactylus;Phoxichilidiidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Child, 1977', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|414293', 'http://rs.tdwg.org/dwc/terms/family': 'Phoxichilidiidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Anoplodactylus', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'arcuatus', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|52194', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Anoplodactylus arcuatus Child, 1977'}]}	PRESERVED_SPECIMEN	PRESENT	2117313	1	54	354	9477065	6316	2117290	2117313	2117313	Anoplodactylus arcuatus Child, 1977	Anoplodactylus arcuatus Child, 1977	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arcuatus	Anoplodactylus	arcuatus	SPECIES	ACCEPTED	NE		14.630833	-61.128887	25.0		NORTH_AMERICA	{}	2016.0	9.0	8.0	2016-09-08	252.0	252.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2024-07-24T12:24:53.429+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-1036'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	True			Sabroux R.		WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE			http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-1036		Vétiver	IU	1945782251	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-1036		2016-1036	MNHN			1.0										2015-09-14T11:48:00.000+00:00	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	MADIBENTHOS/AB161	10.15468/qgvvhd																													
1945782430	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:51.140+00:00	564		{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1977', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Anoplodactylus;Phoxichilidiidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': 'Child, 1977', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|414461', 'http://rs.tdwg.org/dwc/terms/family': 'Phoxichilidiidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Anoplodactylus', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'arcuatus', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|52194', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Anoplodactylus arcuatus Child, 1977'}]}	PRESERVED_SPECIMEN	PRESENT	2117313	1	54	354	9477065	6316	2117290	2117313	2117313	Anoplodactylus arcuatus Child, 1977	Anoplodactylus arcuatus Child, 1977	Animalia	Arthropoda	Pantopoda	Phoxichilidiidae	Anoplodactylus	Anoplodactylus arcuatus	Anoplodactylus	arcuatus	SPECIES	ACCEPTED	NE		14.631667	-61.129165	10.0		NORTH_AMERICA	{}	2016.0	9.0	8.0	2016-09-08	252.0	252.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2024-07-24T12:24:51.140+00:00	http://creativecommons.org/licenses/by/4.0/legalcode			False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-1204'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	False			Sabroux R.		WGS84	Pycnogonida	MQ	[]	[]	LATIN_AMERICA	Martinique	EUROPE			http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-1204		Vétiver	IU	1945782430	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2016-1204		2016-1204	MNHN			6.0										2018-11-26T11:40:11.000+00:00	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	MADIBENTHOS/AS054	10.15468/qgvvhd																													
