key	datasetKey	publishingOrgKey	networkKeys	installationKey	hostingOrganizationKey	publishingCountry	protocol	lastCrawled	lastParsed	crawlId	extensions	basisOfRecord	individualCount	occurrenceStatus	taxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	speciesKey	acceptedTaxonKey	scientificName	acceptedScientificName	kingdom	phylum	order	family	genus	species	genericName	specificEpithet	taxonRank	taxonomicStatus	iucnRedListCategory	decimalLatitude	decimalLongitude	depth	depthAccuracy	continent	gadm	year	month	day	eventDate	startDayOfYear	endDayOfYear	issues	modified	lastInterpreted	license	isSequenced	identifiers	media	facts	relations	institutionKey	collectionKey	isInCluster	recordedBy	identifiedBy	geodeticDatum	class	countryCode	recordedByIDs	identifiedByIDs	gbifRegion	country	publishedByGbifRegion	identifier	catalogNumber	institutionCode	locality	fieldNumber	gbifID	collectionCode	occurrenceID	collectionID	verbatimLocality	stateProvince	vernacularName	county	dateIdentified	coordinateUncertaintyInMeters	references	datasetName	rightsHolder	http://unknown.org/nick	verbatimEventDate	taxonID	eventTime	http://unknown.org/captive	identificationID	associatedSequences	taxonConceptID	occurrenceRemarks	higherGeography	preparations	institutionID	nomenclaturalCode	http://unknown.org/taxonRankID	language	type	ownerInstitutionCode	http://unknown.org/species	higherClassification	sex	coordinatePrecision	otherCatalogNumbers	eventID	acceptedNameUsage	dynamicProperties	locationRemarks	nameAccordingTo	samplingProtocol	locationID	originalNameUsage	islandGroup	island	verbatimDepth	infraspecificEpithet	waterBody	habitat	eventRemarks	typeStatus	identificationRemarks	disposition	accessRights	verbatimTaxonRank
3762705821	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:44.837+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1881', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Ammothella;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': '(Dohrn, 1881)', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|516148', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Ammothella', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'biunguiculata', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|16628', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Ammothella biunguiculata (Dohrn, 1881)'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118190	1	54	354	9477065	6313	2118169	2118190	2118190	Ammothella biunguiculata (Dohrn, 1881)	Ammothella biunguiculata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella biunguiculata	Ammothella	biunguiculata	SPECIES	ACCEPTED	NE	42.309667	8.61505	5.0	3.0	EUROPE	{'level0': {'gid': 'FRA', 'name': 'France'}, 'level1': {'gid': 'FRA.5_1', 'name': 'Corse'}, 'level2': {'gid': 'FRA.5.1_1', 'name': 'Corse-du-Sud'}, 'level3': {'gid': 'FRA.5.1.1_1', 'name': 'Ajaccio'}}	2021.0	5.0	15.0	2021-05-15	135.0	135.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:01.000+00:00	2024-07-24T12:24:44.837+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2021-134'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	La_Planète_Revisitée	Sabroux R.	WGS84	Pycnogonida	FR	[]	[]	EUROPE	France	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2021-134	2021-134	MNHN	Punta à Scopa	CORSICABENTHOS 3/CB29	3762705821	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2021-134	10.15468/qgvvhd																																																			
3762705820	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:44.836+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1881', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Ammothella;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': '(Dohrn, 1881)', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|516149', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Ammothella', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'biunguiculata', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|16628', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Ammothella biunguiculata (Dohrn, 1881)'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118190	1	54	354	9477065	6313	2118169	2118190	2118190	Ammothella biunguiculata (Dohrn, 1881)	Ammothella biunguiculata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella biunguiculata	Ammothella	biunguiculata	SPECIES	ACCEPTED	NE	42.309667	8.61505	5.0	3.0	EUROPE	{'level0': {'gid': 'FRA', 'name': 'France'}, 'level1': {'gid': 'FRA.5_1', 'name': 'Corse'}, 'level2': {'gid': 'FRA.5.1_1', 'name': 'Corse-du-Sud'}, 'level3': {'gid': 'FRA.5.1.1_1', 'name': 'Ajaccio'}}	2021.0	5.0	15.0	2021-05-15	135.0	135.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:01.000+00:00	2024-07-24T12:24:44.836+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2021-135'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	La_Planète_Revisitée	Sabroux R.	WGS84	Pycnogonida	FR	[]	[]	EUROPE	France	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2021-135	2021-135	MNHN	Punta à Scopa	CORSICABENTHOS 3/CB29	3762705820	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2021-135	10.15468/qgvvhd																																																			
3766177367	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:44.851+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1881', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Ammothella;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': '(Dohrn, 1881)', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|518864', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Ammothella', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'biunguiculata', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|16628', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Ammothella biunguiculata (Dohrn, 1881)'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118190	1	54	354	9477065	6313	2118169	2118190	2118190	Ammothella biunguiculata (Dohrn, 1881)	Ammothella biunguiculata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella biunguiculata	Ammothella	biunguiculata	SPECIES	ACCEPTED	NE	42.37025	8.545467	6.0		EUROPE	{}	2021.0	5.0	22.0	2021-05-22	142.0	142.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:01.000+00:00	2024-07-24T12:24:44.851+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2021-170'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	La_Planète_Revisitée	Sabroux R.	WGS84	Pycnogonida	FR	[]	[]	EUROPE	France	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2021-170	2021-170	MNHN	Est ile de Gargali	CORSICABENTHOS 3/CB39	3766177367	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2021-170	10.15468/qgvvhd	Fond de calanque, arrivée d'eau froide																																																		
3766177371	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:44.852+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1881', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Ammothella;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': '(Dohrn, 1881)', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|518859', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Ammothella', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'biunguiculata', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|16628', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Ammothella biunguiculata (Dohrn, 1881)'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118190	1	54	354	9477065	6313	2118169	2118190	2118190	Ammothella biunguiculata (Dohrn, 1881)	Ammothella biunguiculata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella biunguiculata	Ammothella	biunguiculata	SPECIES	ACCEPTED	NE	42.377017	8.550967	12.5	2.5	EUROPE	{'level0': {'gid': 'FRA', 'name': 'France'}, 'level1': {'gid': 'FRA.5_1', 'name': 'Corse'}, 'level2': {'gid': 'FRA.5.1_1', 'name': 'Corse-du-Sud'}, 'level3': {'gid': 'FRA.5.1.1_1', 'name': 'Ajaccio'}}	2021.0	5.0	23.0	2021-05-23	143.0	143.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2014-03-18T17:09:06.000+00:00	2024-07-24T12:24:44.852+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2021-175'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	La_Planète_Revisitée	Sabroux R.	WGS84	Pycnogonida	FR	[]	[]	EUROPE	France	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2021-175	2021-175	MNHN	Punta Palazzu, Phoque-moine	CORSICABENTHOS 3/CS88	3766177371	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2021-175	10.15468/qgvvhd																																																			
3970759008	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8		9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:33.445+00:00	116	{}	PRESERVED_SPECIMEN		PRESENT	2118190	1	54	354	9477065	6313	2118169	2118190	2118190	Ammothella biunguiculata (Dohrn, 1881)	Ammothella biunguiculata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella biunguiculata	Ammothella	biunguiculata	SPECIES	ACCEPTED	NE	37.525917	130.936778			ASIA	{}	2021.0	7.0	13.0	2021-07-13	194.0	194.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-04-10T15:19:33.445+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00248801'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193		False		Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00248801	MABIK CR00248801	MABIK	Ulleung-eup		3970759008	CR	MABIK CR00248801			Gyeongsangbuk-do	꼬마긴손접시바다거미	Ulleung-gun																																															
3970759007	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8		9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:33.444+00:00	116	{}	PRESERVED_SPECIMEN		PRESENT	2118190	1	54	354	9477065	6313	2118169	2118190	2118190	Ammothella biunguiculata (Dohrn, 1881)	Ammothella biunguiculata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella biunguiculata	Ammothella	biunguiculata	SPECIES	ACCEPTED	NE	37.525917	130.936778			ASIA	{}	2021.0	7.0	13.0	2021-07-13	194.0	194.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-04-10T15:19:33.444+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00248802'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193		False		Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00248802	MABIK CR00248802	MABIK	Ulleung-eup		3970759007	CR	MABIK CR00248802			Gyeongsangbuk-do	꼬마긴손접시바다거미	Ulleung-gun																																															
3970759013	bef19e99-90a7-4b3d-a113-bdf4ea6c88f2	2b4e561b-0b1a-4c1b-b564-819bcfe006b8		9afa1395-6e93-4848-a42d-bce896f5195e	657b7bf0-766b-11d9-9f77-b8a03c50a862	KR	EML	2024-04-10T15:17:39.393+00:00	2024-04-10T15:19:33.445+00:00	116	{}	PRESERVED_SPECIMEN		PRESENT	2118190	1	54	354	9477065	6313	2118169	2118190	2118190	Ammothella biunguiculata (Dohrn, 1881)	Ammothella biunguiculata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella biunguiculata	Ammothella	biunguiculata	SPECIES	ACCEPTED	NE	37.525917	130.936778			ASIA	{}	2021.0	7.0	13.0	2021-07-13	194.0	194.0	['COORDINATE_ROUNDED', 'GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'IDENTIFIED_DATE_INVALID', 'INSTITUTION_MATCH_FUZZY', 'INSTITUTION_COLLECTION_MISMATCH']		2024-04-10T15:19:33.445+00:00	http://creativecommons.org/licenses/by-nc/4.0/legalcode	False	[{'identifier': 'MABIK CR00248803'}]	[]	[]	[]	a8264021-9b25-41bb-88b5-eaba3fc66193		False		Lee Damin	WGS84	Pycnogonida	KR	[]	[]	ASIA	Korea, Republic of	ASIA	MABIK CR00248803	MABIK CR00248803	MABIK	Ulleung-eup		3970759013	CR	MABIK CR00248803			Gyeongsangbuk-do	꼬마긴손접시바다거미	Ulleung-gun																																															
3762705749	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:55.219+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1881', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Ammothella;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': '(Dohrn, 1881)', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|516145', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Ammothella', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'biunguiculata', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|16628', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Ammothella biunguiculata (Dohrn, 1881)'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118190	1	54	354	9477065	6313	2118169	2118190	2118190	Ammothella biunguiculata (Dohrn, 1881)	Ammothella biunguiculata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella biunguiculata	Ammothella	biunguiculata	SPECIES	ACCEPTED	NE	41.429176	9.263207	7.5	2.5	EUROPE	{}	2020.0	10.0	17.0	2020-10-17	291.0	291.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:01.000+00:00	2024-07-24T12:24:55.219+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2020-605'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	La_Planète_Revisitée	Sabroux R.	WGS84	Pycnogonida	FR	[]	[]	EUROPE	France	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2020-605	2020-605	MNHN	Punta Di U Capicciolu	CORSICABENTHOS 2/CB12	3762705749	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2020-605	10.15468/qgvvhd																																																			
3762705695	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:55.182+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1881', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Ammothella;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': '(Dohrn, 1881)', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|516146', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Ammothella', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'biunguiculata', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|16628', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Ammothella biunguiculata (Dohrn, 1881)'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118190	1	54	354	9477065	6313	2118169	2118190	2118190	Ammothella biunguiculata (Dohrn, 1881)	Ammothella biunguiculata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella biunguiculata	Ammothella	biunguiculata	SPECIES	ACCEPTED	NE	41.391228	9.102649	22.0	2.0	EUROPE	{}	2020.0	10.0	21.0	2020-10-21	295.0	295.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:01.000+00:00	2024-07-24T12:24:55.182+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2020-633'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	La_Planète_Revisitée	Sabroux R.	WGS84	Pycnogonida	FR	[]	[]	EUROPE	France	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2020-633	2020-633	MNHN	Capo Di Feno	CORSICABENTHOS 2/CB16	3762705695	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2020-633	10.15468/qgvvhd																																																			
3762705738	da6a07ed-9eee-460d-9448-910f542c1a7b	2cd829bb-b713-433d-99cf-64bef11e5b3e	['17abcf75-2f1e-46dd-bf75-a5b21dd02655']	86c2834b-fcd6-418d-9b32-aca45110a0fe	2cd829bb-b713-433d-99cf-64bef11e5b3e	FR	EML	2024-07-24T12:23:52.237+00:00	2024-07-24T12:24:55.200+00:00	564	{'http://rs.tdwg.org/dwc/terms/Identification': [{'http://rs.tdwg.org/dwc/terms/namePublishedInYear': '1881', 'http://rs.tdwg.org/dwc/terms/order': 'Pantopoda', 'http://rs.tdwg.org/dwc/terms/higherClassification': 'Ammothella;Ammotheidae;Pantopoda;Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificNameAuthorship': '(Dohrn, 1881)', 'http://rs.tdwg.org/dwc/terms/class': 'Pycnogonida', 'http://rs.tdwg.org/dwc/terms/identificationID': 'INVMAR|516147', 'http://rs.tdwg.org/dwc/terms/family': 'Ammotheidae', 'http://rs.tdwg.org/dwc/terms/genus': 'Ammothella', 'http://rs.tdwg.org/dwc/terms/specificEpithet': 'biunguiculata', 'http://rs.tdwg.org/dwc/terms/identificationVerificationStatus': '1', 'http://rs.tdwg.org/dwc/terms/taxonID': 'INVMAR|16628', 'http://rs.tdwg.org/dwc/terms/identifiedBy': 'Sabroux R.', 'http://rs.tdwg.org/dwc/terms/phylum': 'Arthropoda', 'http://rs.tdwg.org/dwc/terms/scientificName': 'Ammothella biunguiculata (Dohrn, 1881)'}]}	PRESERVED_SPECIMEN	1.0	PRESENT	2118190	1	54	354	9477065	6313	2118169	2118190	2118190	Ammothella biunguiculata (Dohrn, 1881)	Ammothella biunguiculata (Dohrn, 1881)	Animalia	Arthropoda	Pantopoda	Ammotheidae	Ammothella	Ammothella biunguiculata	Ammothella	biunguiculata	SPECIES	ACCEPTED	NE	41.4423	9.228717	6.0		EUROPE	{}	2020.0	10.0	29.0	2020-10-29	303.0	303.0	['GEODETIC_DATUM_ASSUMED_WGS84', 'CONTINENT_DERIVED_FROM_COORDINATES', 'OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT', 'INSTITUTION_MATCH_FUZZY']	2015-06-19T19:23:01.000+00:00	2024-07-24T12:24:55.200+00:00	http://creativecommons.org/licenses/by/4.0/legalcode	False	[{'identifier': 'http://coldb.mnhn.fr/catalognumber/mnhn/iu/2020-663'}]	[]	[]	[]	6a6ac6c5-1b8a-48db-91a2-f8661274ff80	0641bf3b-29ad-42c9-b3c7-ffb5a76f6954	False	La_Planète_Revisitée	Sabroux R.	WGS84	Pycnogonida	FR	[]	[]	EUROPE	France	EUROPE	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2020-663	2020-663	MNHN	Nord plage de Balistra	CORSICABENTHOS 2/CS64	3762705738	IU	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2020-663	10.15468/qgvvhd																																																			
